"layout.xaxis.categoryarray","data.1.x","data.1.y","data.2.x","data.2.y","data.3.x","data.3.y","data.4.x","data.4.y","layout.xaxis.categoryarray-32e81dd84dad","data.1.x-32e8255bbc6","data.1.y-32e831fb726c","data.2.x-32e819326279","data.2.y-32e865021b5e","data.3.x-32e85ddde06","data.3.y-32e810a337a2","data.4.x-32e819d64c20","data.4.y-32e8736751f"
"Merc 230","Toyota Corolla","1.835","Toyota Corolla","33.9","Toyota Corolla","19.9","Toyota Corolla","65","Merc 230","Toyota Corolla","1.835","Toyota Corolla","33.9","Toyota Corolla","19.9","Toyota Corolla","65"
"Merc 240D","Toyota Corona","2.465","Toyota Corona","21.5","Toyota Corona","20.01","Toyota Corona","97","Merc 240D","Toyota Corona","2.465","Toyota Corona","21.5","Toyota Corona","20.01","Toyota Corona","97"
"Merc 280","Dodge Challenger","3.52","Dodge Challenger","15.5","Dodge Challenger","16.87","Dodge Challenger","150","Merc 280","Dodge Challenger","3.52","Dodge Challenger","15.5","Dodge Challenger","16.87","Dodge Challenger","150"
"Merc 280C","AMC Javelin","3.435","AMC Javelin","15.2","AMC Javelin","17.3","AMC Javelin","150","Merc 280C","AMC Javelin","3.435","AMC Javelin","15.2","AMC Javelin","17.3","AMC Javelin","150"
"Merc 450SE","Camaro Z28","3.84","Camaro Z28","13.3","Camaro Z28","15.41","Camaro Z28","245","Merc 450SE","Camaro Z28","3.84","Camaro Z28","13.3","Camaro Z28","15.41","Camaro Z28","245"
"Merc 450SL","Pontiac Firebird","3.845","Pontiac Firebird","19.2","Pontiac Firebird","17.05","Pontiac Firebird","175","Merc 450SL","Pontiac Firebird","3.845","Pontiac Firebird","19.2","Pontiac Firebird","17.05","Pontiac Firebird","175"
"Merc 450SLC","Fiat X1-9","1.935","Fiat X1-9","27.3","Fiat X1-9","18.9","Fiat X1-9","66","Merc 450SLC","Fiat X1-9","1.935","Fiat X1-9","27.3","Fiat X1-9","18.9","Fiat X1-9","66"
"Pontiac Firebird","Porsche 914-2","2.14","Porsche 914-2","26","Porsche 914-2","16.7","Porsche 914-2","91","Pontiac Firebird","Porsche 914-2","2.14","Porsche 914-2","26","Porsche 914-2","16.7","Porsche 914-2","91"
"Porsche 914-2","Lotus Europa","1.513","Lotus Europa","30.4","Lotus Europa","16.9","Lotus Europa","113","Porsche 914-2","Lotus Europa","1.513","Lotus Europa","30.4","Lotus Europa","16.9","Lotus Europa","113"
"Toyota Corolla","Ford Pantera L","3.17","Ford Pantera L","15.8","Ford Pantera L","14.5","Ford Pantera L","264","Toyota Corolla","Ford Pantera L","3.17","Ford Pantera L","15.8","Ford Pantera L","14.5","Ford Pantera L","264"
"Toyota Corona","Ferrari Dino","2.77","Ferrari Dino","19.7","Ferrari Dino","15.5","Ferrari Dino","175","Toyota Corona","Ferrari Dino","2.77","Ferrari Dino","19.7","Ferrari Dino","15.5","Ferrari Dino","175"
"Valiant","Maserati Bora","3.57","Maserati Bora","15","Maserati Bora","14.6","Maserati Bora","335","Valiant","Maserati Bora","3.57","Maserati Bora","15","Maserati Bora","14.6","Maserati Bora","335"
"Volvo 142E","Volvo 142E","2.78","Volvo 142E","21.4","Volvo 142E","18.6","Volvo 142E","109","Volvo 142E","Volvo 142E","2.78","Volvo 142E","21.4","Volvo 142E","18.6","Volvo 142E","109"
